date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:11:41	203030/203030	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2231916-1783b640550%22	https://aqross.app/webfonts/fa-solid-900.eot?	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/webfonts/fa-solid-900d41d.eot	(from https://aqross.app/css/all.css)
00:11:41	78196/78196	---M--	200	added ('OK')	font/woff2	etag:W/%2213174-1783b640550%22	https://aqross.app/webfonts/fa-solid-900.woff2	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/webfonts/fa-solid-900.woff2	(from https://aqross.app/css/all.css)
00:11:41	101652/101652	---M--	200	added ('OK')	font/woff	etag:W/%2218d14-1783b640550%22	https://aqross.app/webfonts/fa-solid-900.woff	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/webfonts/fa-solid-900.woff	(from https://aqross.app/css/all.css)
00:11:41	202744/202744	---M--	200	added ('OK')	font/ttf	etag:W/%22317f8-1783b640550%22	https://aqross.app/webfonts/fa-solid-900.ttf	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/webfonts/fa-solid-900.ttf	(from https://aqross.app/css/all.css)
00:11:42	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2024%20Mar%202023%2018:41:42%20GMT	https://aqross.app/multisend	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/multisend	(from https://aqross.app/send/)
00:11:42	175/175	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2024%20Mar%202023%2018:41:42%20GMT	https://aqross.app/send	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/send	(from https://aqross.app/send/)
00:11:42	186/186	---M--	200	added ('OK')	image/png	etag:W/%22ba-183daa1d330%22	https://aqross.app/images/back.png	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/images/back.png	(from https://aqross.app/send/)
00:11:42	33168/33168	---M--	200	added ('OK')	application/javascript	etag:W/%228190-1513c4f2ac0%22	https://aqross.app/js/qrcode.js	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/js/qrcode.js	(from https://aqross.app/send/)
00:11:43	148/148	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Mar%202023%2018:41:43%20GMT	https://aqross.app/send/post	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/send/post	(from https://aqross.app/send/)
00:11:43	24696/24696	---M--	200	added ('OK')	application/javascript	etag:W/%226078-17dd43a2480%22	https://aqross.app/js/swipe.js	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/js/swipe.js	(from https://aqross.app/receive/)
00:11:43	33396/33396	---M--	200	added ('OK')	text/html	etag:W/%228274-186e712fdf8%22	https://aqross.app/multisend/	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/multisend/index.html	(from https://aqross.app/send/)
00:11:43	918991/918991	---M--	200	added ('OK')	image/svg+xml	etag:W/%22e05cf-1783b640550%22	https://aqross.app/webfonts/fa-solid-900.svg	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/webfonts/fa-solid-900.svg	(from https://aqross.app/css/all.css)
00:11:43	8070/8070	---M--	200	added ('OK')	image/png	etag:W/%221f86-183d121ecc8%22	https://aqross.app/images/creating.png	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/images/creating.png	(from https://aqross.app/receive/)
00:11:43	191/191	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2024%20Mar%202023%2018:41:44%20GMT	https://aqross.app/multireceive	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/multireceive	(from https://aqross.app/receive/)
00:11:44	181/181	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2024%20Mar%202023%2018:41:44%20GMT	https://aqross.app/receive	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/receive	(from https://aqross.app/receive/)
00:11:44	24572/24572	---M--	200	added ('OK')	text/html	etag:W/%225ffc-183e2a87390%22	https://aqross.app/multireceive/	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/multireceive/index.html	(from https://aqross.app/receive/)
00:11:46	279539/279539	---M--	200	added ('OK')	image/png	etag:W/%22443f3-183dd9eea78%22	https://aqross.app/images/notfound.png	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/images/notfound.png	(from https://aqross.app/receive/)
00:11:48	5225572/5225572	---M--	200	added ('OK')	image/gif	etag:W/%224fbc64-182a8400480%22	https://aqross.app/images/default.gif	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/images/default.gif	(from https://aqross.app/send/)
00:11:48	175/175	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2024%20Mar%202023%2018:41:49%20GMT	https://aqross.app/send	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/send	(from https://aqross.app/multisend/)
00:11:51	153/153	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Mar%202023%2018:41:51%20GMT	https://aqross.app/multisend/post	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/multisend/post.31.delayed	(from https://aqross.app/multisend/)
00:11:51	1185005/1185005	---M--	200	added ('OK')	image/png	etag:W/%221214ed-183e2ccd410%22	https://aqross.app/images/ebook.png	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/images/ebook.png	(from https://aqross.app/multisend/)
00:11:51	181/181	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2024%20Mar%202023%2018:41:51%20GMT	https://aqross.app/receive	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/receive	(from https://aqross.app/multireceive/)
00:11:53	513034/513034	---M--	200	added ('OK')	image/png	etag:W/%227d40a-183e2f86468%22	https://aqross.app/images/video0.png	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/images/video0.png	(from https://aqross.app/multisend/)
00:12:00	3076387/3076387	---M--	200	added ('OK')	image/gif	etag:W/%222ef123-183e2e1c370%22	https://aqross.app/images/3d.gif	C:/Users/dhote/OneDrive/Desktop/file%20share/aqross.app/images/3d.gif	(from https://aqross.app/multisend/)
